"filename", "language", "HTML", "XML", "SCSS", "PostCSS", "Pug", "comment", "blank", "total"
"/Users/darrellparkhouse/development/untitled-ui-kit/about-us.html", "HTML", 12, 0, 0, 0, 0, 0, 1, 13
"/Users/darrellparkhouse/development/untitled-ui-kit/careers.html", "HTML", 12, 0, 0, 0, 0, 0, 1, 13
"/Users/darrellparkhouse/development/untitled-ui-kit/contact.html", "HTML", 52, 0, 0, 0, 0, 0, 2, 54
"/Users/darrellparkhouse/development/untitled-ui-kit/cookies.html", "HTML", 12, 0, 0, 0, 0, 0, 1, 13
"/Users/darrellparkhouse/development/untitled-ui-kit/css/app.css", "PostCSS", 0, 0, 0, 1241, 0, 1, 347, 1589
"/Users/darrellparkhouse/development/untitled-ui-kit/forms.html", "HTML", 15, 0, 0, 0, 0, 0, 0, 15
"/Users/darrellparkhouse/development/untitled-ui-kit/img/close-icon.svg", "XML", 0, 3, 0, 0, 0, 0, 1, 4
"/Users/darrellparkhouse/development/untitled-ui-kit/img/message/Messages/noise.svg", "XML", 0, 11, 0, 0, 0, 0, 1, 12
"/Users/darrellparkhouse/development/untitled-ui-kit/img/notify/Avatar.svg", "XML", 0, 12, 0, 0, 0, 0, 1, 13
"/Users/darrellparkhouse/development/untitled-ui-kit/img/notify/close-icon.svg", "XML", 0, 4, 0, 0, 0, 0, 1, 5
"/Users/darrellparkhouse/development/untitled-ui-kit/img/sm-close-icon.svg", "XML", 0, 3, 0, 0, 0, 0, 1, 4
"/Users/darrellparkhouse/development/untitled-ui-kit/index.html", "HTML", 6, 0, 0, 0, 0, 0, 0, 6
"/Users/darrellparkhouse/development/untitled-ui-kit/landing-page-one.html", "HTML", 29, 0, 0, 0, 0, 0, 7, 36
"/Users/darrellparkhouse/development/untitled-ui-kit/layouts/base.html", "HTML", 6, 0, 0, 0, 0, 0, 0, 6
"/Users/darrellparkhouse/development/untitled-ui-kit/licenses.html", "HTML", 12, 0, 0, 0, 0, 0, 1, 13
"/Users/darrellparkhouse/development/untitled-ui-kit/media-kit.html", "HTML", 12, 0, 0, 0, 0, 0, 1, 13
"/Users/darrellparkhouse/development/untitled-ui-kit/news.html", "HTML", 12, 0, 0, 0, 0, 0, 1, 13
"/Users/darrellparkhouse/development/untitled-ui-kit/notification.html", "HTML", 40, 0, 0, 0, 0, 0, 2, 42
"/Users/darrellparkhouse/development/untitled-ui-kit/pages/notifications.html", "HTML", 240, 0, 0, 0, 0, 0, 1, 241
"/Users/darrellparkhouse/development/untitled-ui-kit/press.html", "HTML", 12, 0, 0, 0, 0, 0, 1, 13
"/Users/darrellparkhouse/development/untitled-ui-kit/privacy.html", "HTML", 12, 0, 0, 0, 0, 0, 1, 13
"/Users/darrellparkhouse/development/untitled-ui-kit/pug/index.pug", "Pug", 0, 0, 0, 0, 23, 0, 5, 28
"/Users/darrellparkhouse/development/untitled-ui-kit/pug/layouts/base.pug", "Pug", 0, 0, 0, 0, 32, 0, 3, 35
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/_icons.scss", "SCSS", 0, 0, 10, 0, 0, 0, 1, 11
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/app.scss", "SCSS", 0, 0, 4, 0, 0, 0, 2, 6
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/components/_buttons.scss", "SCSS", 0, 0, -51, 0, 0, -5, -10, -66
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/components/_cards.scss", "SCSS", 0, 0, -65, 0, 0, -1, -13, -79
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/components/_customers.scss", "SCSS", 0, 0, 18, 0, 0, 0, 5, 23
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/components/_forms.scss", "SCSS", 0, 0, -26, 0, 0, -1, -6, -33
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/components/_header.scss", "SCSS", 0, 0, 37, 0, 0, 1, 8, 46
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/components/_navigation.scss", "SCSS", 0, 0, -54, 0, 0, -1, -9, -64
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/components/_notifications.scss", "SCSS", 0, 0, -414, 0, 0, -17, -72, -503
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/main.scss", "SCSS", 0, 0, 0, 0, 0, -2, -2, -4
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/partials/_base.scss", "SCSS", 0, 0, 14, 0, 0, 0, 4, 18
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/partials/_footer.scss", "SCSS", 0, 0, 22, 0, 0, 0, 3, 25
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/partials/_grid.scss", "SCSS", 0, 0, -20, 0, 0, -2, -4, -26
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/partials/_layout.scss", "SCSS", 0, 0, -18, 0, 0, -2, -2, -22
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/partials/_mixins.scss", "SCSS", 0, 0, 26, 0, 0, 0, 7, 33
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/partials/_variables.scss", "SCSS", 0, 0, 34, 0, 0, 2, -3, 33
"/Users/darrellparkhouse/development/untitled-ui-kit/settings.html", "HTML", 12, 0, 0, 0, 0, 0, 1, 13
"/Users/darrellparkhouse/development/untitled-ui-kit/terms.html", "HTML", 12, 0, 0, 0, 0, 0, 1, 13
"/Users/darrellparkhouse/development/untitled-ui-kit/test.html", "HTML", 16, 0, 0, 0, 0, 0, 0, 16
"Total", "-", 524, 33, -483, 1241, 55, -27, 291, 1634
